SubscriberID;Activate;Name;City;Cell;DateOfBirth;Surname
1;2024/12/23;Roger;Port Elizabeth;27700408017;1998/12/17;Pritchard
2;2024/09/08;Johw;Tshwane;27704465602;2003/09/22;Tran
3;2023/10/05;Sithembiso;Cape Town;27700498064;1961/01/02;Sabelo
4;2024/05/12;Linda;eThekwini;27708030287;1987/07/16;Mellor
5;2025/06/03;Thabani;Soshanguve;27700536653;1960/10/20;Phewa
6;2024/10/09;Erin;Soshanguve;27701422836;1965/10/10;Carlson
7;2023/11/22;Margaret;Cape Town;27702126483;1971/06/11;Wright
8;2024/02/26;Bandile;Johannesburg;27702983213;2002/08/18;Kweyama
9;2024/02/05;Nomasonto;Johannesburg;27703402404;1970/10/25;Ndandali
10;2025/02/24;Jill;Johannesburg;27704552601;1990/09/09;Young
11;2025/01/24;Thabisile;Cape Town;27705295490;1984/02/22;Mtolo
12;2023/09/29;Zinhle;Cape Town;27705781665;1980/03/05;Dumisa
13;2024/09/29;Nozizwe;Ekurhuleni;27706347171;2006/02/21;Hlela
14;2025/01/02;Siphesihle;Johannesburg;27706908401;2005/11/10;Dinabantu
15;2024/09/29;Thembile;Durban;27707578628;1941/04/17;Madonsela
16;2024/08/29;Sihawukele;Port Elizabeth;27708162164;1956/04/01;Shoyisa
17;2023/11/28;Mlungisi;Johannesburg;27709138730;1968/12/03;Ndwandwe
18;2023/10/25;Eric;Kimberley;27709654582;1941/01/08;Collins
19;2024/09/23;Ross;East London;27710361466;1964/03/23;Silva
20;2023/09/14;Vusumuzi;Port Elizabeth;27711312486;1974/04/07;Maphindela
21;2024/10/04;Mitt;Polokwane;27711572067;1957/04/10;Clark
22;2023/12/17;Ndumiso;Ekurhuleni;27712113164;1986/05/17;Mkhumbuzi
23;2023/12/17;Ndumiso;East Rand;27712113164;1986/05/17;Mkhumbuzi
24;2024/11/23;Nicole;Pretoria;27712385865;1991/11/23;Potter
25;2024/03/07;Amahle;Cape Town;27712488797;2004/12/01;Mdlanyoka
26;2023/09/07;Mandla;Johannesburg;27712755488;1963/06/27;Ngobisi
27;2023/09/07;Manp;Johannesburg;27712755488;1963/06/27;Ngobisi
28;2025/05/13;Julo;Ekurhuleni;27713173581;1944/03/06;Howard
29;2025/04/15;Thuthukile;Cape Town;27714185136;1996/06/25;Mawewe
30;2024/04/01;Sandile;Cape Town;27715586306;1958/10/07;Ndonga
31;2024/04/01;Sandile;Kaapstad;27715586306;1958/10/07;Ndonga
32;2024/10/06;Timothy;Pretoria;27715983327;2000/04/21;Davies
33;2024/12/31;John;Ekurhuleni;27717286902;1957/12/17;Ford
34;2025/06/03;Thembisile;Cape Town;27718061525;1966/10/16;Majola
35;2025/03/05;Gemma;Johannesburg;27718983643;1959/07/17;Ferguson
36;2023/12/11;Nomathalente;Johannesburg;27719396045;1958/07/20;Phingoshe
37;2023/12/11;Nomu;Johannesburg;27719396045;1958/07/20;Phingoshe
38;2024/01/23;Ndumiso;Ekurhuleni;27719961318;1979/08/17;Dinangwe
39;2024/05/28;Mnqo;Cape Town;27720029924;1974/07/31;Hlongwane
40;2024/06/19;SimphiweyiNkosi;Johannesburg;27720125760;2002/07/03;Sikobi
41;2024/06/18;Sihawukele;Johannesburg;27720593040;1990/05/06;Ndawo
42;2024/06/30;Sandra;Cape Town;27720714523;1980/05/07;Sellers
43;2025/02/06;Tomy;Klerksdorp;27721198397;1965/06/12;Warner
44;2023/12/22;Janice;Durban;27721340588;1968/04/20;Hopkins
45;2024/04/26;Nomathalente;Kaapstad;27721345908;1950/10/18;Gubhuza
46;2023/09/05;Silondile;Johannesburg;27722330476;1979/10/10;Khubisa
47;2024/05/26;Katy;Gqeberha;27722745553;1985/02/11;Smith
48;2024/04/20;Lwandile;Ekurhuleni;27722747624;1995/07/08;Msane
49;2024/04/20;Lwandile;Ekurhuleni;27722747624;1995/08/07;Msane
50;2024/07/08;Lynda;Soshanguve;27723131974;1954/01/02;Davison
51;2024/02/05;Danielle;Johannesburg;27724493478;1958/04/22;Johnson
52;2025/05/08;Thandazile;Durban;27725138892;1963/02/12;Gcaba
53;2024/02/15;Nomy;Durban;27725463719;1959/09/17;Ntshingila
54;2024/11/09;Thembekile;Durban;27726147995;1955/03/04;Gubhuza
55;2025/05/28;Vanessa;Kaapstad;27726176224;1969/05/28;Brooks
56;2025/03/27;Zenzile;Welkom;27726606265;1961/10/15;Dindi
57;2024/09/19;Nozizwe;Ekurhuleni;27728019757;1976/04/14;Mngwengwe
58;2023/12/05;Janw;Springs;27728547628;1955/06/02;Williams
59;2024/05/04;Simphiwe;Cape Town;27728744137;1979/08/20;Msamkhulu
60;2024/03/08;Debra;Cape Town;27729603611;1977/03/28;Smith
61;2024/10/02;S'fiso;Johannesburg;27729733969;1948/04/06;Galu
62;2024/02/27;Anna;Durban;27729820192;1979/05/16;Baker
63;2024/02/27;Anna;eThekwini;27729820192;1979/05/16;Baker
64;2023/12/13;Brian;East London;27730008139;1955/02/06;Thomas
65;2024/05/31;Joshua;Kaapstad;27730744349;1991/03/25;Booth
66;2025/02/05;Anna;Johannesburg;27732183258;1987/04/26;Baldwin
67;2024/06/21;Clare;Cape Town;27732960859;1949/02/03;Wilkins
68;2025/06/01;Musp;Soshanguve;27733191788;1999/10/20;Nodlomo
69;2024/01/09;Douglas;Johannesburg;27734401930;1990/04/15;Taylor
