ConsolidatedID;FirstName;LastName;CellPhoneNumber;DateOfBirth;Nationality;SIMActivationDate;SourceSystemName;IsMasterRecord;Location;CreatedDate;ModifiedDate
1;Sibonelo;Jiyane;27701302724;1965/05/31;South African;2024/01/10;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
2;Gugulethu;Dimbani;27702088773;1976/11/17;South African;2024/11/15;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
3;Nokulunga;Mhlungu;27702970958;1977/03/11;South African;2025/04/16;VMobile;TRUE;West Rand;2025/08/11 13:33;2025/08/11 13:33
4;Owethu;Khanyile;27703320064;1997/07/11;South African;2024/04/10;VMobile;TRUE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
5;Lindsay;Blair;27704131178;1976/01/31;South African;2024/09/22;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
6;Nomathalente;Shoba;27704753382;1962/09/06;South African;2024/08/06;VMobile;TRUE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
7;Andrea;Calderon;27705752990;1981/09/06;South African;2023/08/02;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
8;Henry;Smith;27706327368;1949/02/01;South African;2024/06/24;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
9;Michael;Galloway;27706833765;1994/06/29;South African;2025/01/14;VMobile;TRUE;Witbank;2025/08/11 13:33;2025/08/11 13:33
10;David;Nielsen;27707347477;1944/12/14;South African;2023/08/24;VMobile;TRUE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
11;Nicole;Ward;27707848987;1952/09/04;South African;2024/10/21;VMobile;TRUE;Pietermaritzburg;2025/08/11 13:33;2025/08/11 13:33
12;Andile;Mangethe;27709050860;2002/07/30;South African;2024/12/01;VMobile;TRUE;Port Elizabeth;2025/08/11 13:33;2025/08/11 13:33
13;Carlos;Johnson;27709367729;1962/01/28;South African;2024/02/02;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
14;Londiwe;Mabhoko;27710091970;1940/12/01;South African;2024/05/09;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
15;Lungile;Shozi;27711214656;1970/11/09;South African;2023/09/10;VMobile;TRUE;Benoni;2025/08/11 13:33;2025/08/11 13:33
16;Mitchell;Clark;27711572067;1957/10/04;South African;2024/10/04;VMobile;TRUE;Polokwane;2025/08/11 13:33;2025/08/11 13:33
17;Thando;Vilakazi;27711810165;1962/07/01;South African;2024/08/23;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
18;William;Wilson;27712305098;1941/10/10;South African;2024/05/29;VMobile;TRUE;Bloemfontein;2025/08/11 13:33;2025/08/11 13:33
19;Julia;Howard;27713173581;1944/03/06;South African;2025/05/13;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
20;Gugu;Gcaleka;27714005115;1950/05/10;South African;2024/03/29;VMobile;TRUE;Nelspruit;2025/08/11 13:33;2025/08/11 13:33
21;Patrick;Ferrell;27714271871;1975/08/07;South African;2025/04/02;VMobile;TRUE;Kimberley;2025/08/11 13:33;2025/08/11 13:33
22;Guy;Kelly;27716808757;1973/07/25;South African;2023/11/05;VMobile;TRUE;Rustenburg;2025/08/11 13:33;2025/08/11 13:33
23;Simphiwe;Nondlela;27717893653;2002/12/30;South African;2024/07/11;VMobile;TRUE;Soshanguve;2025/08/11 13:33;2025/08/11 13:33
24;Michael;Cooper;27718448667;1957/08/04;South African;2023/10/28;VMobile;TRUE;Durban;2025/08/11 13:33;2025/08/11 13:33
25;Nomthandazo;Mbuyise;27719118275;1940/04/01;South African;2023/11/01;VMobile;TRUE;Ekurhuleni;2025/08/11 13:33;2025/08/11 13:33
26;Hannah;Young;27719729993;1983/05/04;South African;2024/08/28;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
27;Thuthukile;Nyambose;27723956054;1976/09/03;South African;2024/08/05;VMobile;TRUE;Bloemfontein;2025/08/11 13:33;2025/08/11 13:33
28;Gugulethu;Hlophe;27724778385;1961/02/08;South African;2023/08/20;VMobile;TRUE;Johannesburg;2025/08/11 13:33;2025/08/11 13:33
29;Ruth;Griffiths;27727400477;1990/01/20;South African;2025/03/21;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
30;Bhekizizwe;Mbokazi;27729448431;1998/03/02;South African;2023/08/04;VMobile;TRUE;Pretoria;2025/08/11 13:33;2025/08/11 13:33
31;Nomagugu;Nkomo;27729675831;1990/07/02;South African;2024/09/06;VMobile;TRUE;West Rand;2025/08/11 13:33;2025/08/11 13:33
32;Victor;Watts;27729817935;1992/05/25;South African;2025/04/26;VMobile;TRUE;Cape Town;2025/08/11 13:33;2025/08/11 13:33
