RecordID;MSISDN;UsageEventDateTime;UsageEventCityID;UsageEventTypeID;UsageEventTrackingQuantity;UsageEventTrackingUnit;UsageEventBillingQuantity;UsageEventBillingUnit;UsageEventRevenue
1;27745858892;2025/07/18 10:53;10;5;257;seconds;257;seconds;10,28
2;27759277187;2025/07/15 13:52;10;5;241;seconds;241;seconds;7,23
3;27709798813;2025/07/16 13:54;5;5;240;seconds;240;seconds;9,6
4;27702126483;2025/07/19 13:37;35;1;201;MBs;201;MBs;18,09
5;27774160565;2025/07/14 16:34;22;1;169;MBs;169;MBs;20,28
6;27775270396;2025/07/14 17:39;8;1;107;MBs;107;MBs;13,91
7;27700594567;2025/07/16 05:14;8;1;37;MBs;37;MBs;7,4
8;27734810654;2025/07/16 05:34;8;8;179;seconds;179;seconds;30,43
9;27740407777;2025/07/14 21:16;8;8;223;seconds;223;seconds;26,76
10;27721198397;2025/07/16 01:32;28;8;78;seconds;78;seconds;12,48
11;27764351821;2025/07/17 18:51;7;5;139;seconds;139;seconds;4,17
12;27764351821;2025/07/18 06:50;7;4;195;seconds;4;minutes;2,08
13;27717601695;2025/07/14 04:38;26;5;166;seconds;166;seconds;4,98
14;27748057905;2025/07/15 00:34;17;8;127;seconds;127;seconds;13,97
15;27748023717;2025/07/17 19:07;17;5;180;seconds;180;seconds;5,4
16;27790022877;2025/07/15 03:21;17;1;91;MBs;91;MBs;17,29
17;27771477596;2025/07/14 23:19;17;6;294;SMSs;294;SMSs;188,16
18;27782940238;2025/07/15 23:12;9;1;234;MBs;234;MBs;18,72
19;27722330476;2025/07/16 12:16;21;2;26;MBs;26;MBs;8,58
20;27712755488;2025/07/14 03:04;11;8;49;seconds;49;seconds;6,37
21;27749895634;2025/07/15 02:05;11;5;64;seconds;64;seconds;1,92
22;27720125760;2025/07/15 16:36;11;5;225;seconds;225;seconds;13,5
23;27759967153;2025/07/18 18:28;20;5;203;seconds;203;seconds;8,12
24;27728547628;2025/07/14 11:32;20;5;200;seconds;200;seconds;6
25;27723484978;2025/07/15 22:25;33;5;78;seconds;78;seconds;1,56
26;27731726871;2025/07/15 19:37;33;4;294;seconds;5;minutes;4,4
27;27788798367;2025/07/18 14:46;33;4;131;seconds;3;minutes;1,5
28;27771192228;2025/07/18 08:46;33;6;135;SMSs;135;SMSs;76,95
29;27769652162;2025/07/17 18:47;33;4;19;seconds;1;minutes;0,69
30;27731726871;2025/07/14 16:37;33;5;84;seconds;84;seconds;3,36
