CellPhoneNumber;FirstName;LastName;DateOfBirth;Nationality;SIMActivationDate;Location;SourceSystemName;CreatedDate;ModifiedDate
27701302724;Sibonelo;Jiyane;1965/05/31;South African;2024/01/10;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27702088773;Gugulethu;Dimbani;1976/11/17;South African;2024/11/15;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27702970958;Nokulunga;Mhlungu;1977/03/11;South African;2025/04/16;West Rand;VMobile;2025/08/11 13:33;2025/08/11 13:33
27703320064;Owethu;Khanyile;1997/07/11;South African;2024/04/10;Port Elizabeth;VMobile;2025/08/11 13:33;2025/08/11 13:33
27704131178;Lindsay;Blair;1976/01/31;South African;2024/09/22;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27704753382;Nomathalente;Shoba;1962/09/06;South African;2024/08/06;Port Elizabeth;VMobile;2025/08/11 13:33;2025/08/11 13:33
27705752990;Andrea;Calderon;1981/09/06;South African;2023/08/02;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27706327368;Henry;Smith;1949/02/01;South African;2024/06/24;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27706833765;Michael;Galloway;1994/06/29;South African;2025/01/14;Witbank;VMobile;2025/08/11 13:33;2025/08/11 13:33
27707347477;David;Nielsen;1944/12/14;South African;2023/08/24;Port Elizabeth;VMobile;2025/08/11 13:33;2025/08/11 13:33
27707848987;Nicole;Ward;1952/09/04;South African;2024/10/21;Pietermaritzburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27709050860;Andile;Mangethe;2002/07/30;South African;2024/12/01;Port Elizabeth;VMobile;2025/08/11 13:33;2025/08/11 13:33
27709367729;Carlos;Johnson;1962/01/28;South African;2024/02/02;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27710091970;Londiwe;Mabhoko;1940/12/01;South African;2024/05/09;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27711214656;Lungile;Shozi;1970/11/09;South African;2023/09/10;Benoni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27711572067;Mitchell;Clark;1957/10/04;South African;2024/10/04;Polokwane;VMobile;2025/08/11 13:33;2025/08/11 13:33
27711810165;Thando;Vilakazi;1962/07/01;South African;2024/08/23;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27712305098;William;Wilson;1941/10/10;South African;2024/05/29;Bloemfontein;VMobile;2025/08/11 13:33;2025/08/11 13:33
27713173581;Julia;Howard;1944/03/06;South African;2025/05/13;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27714005115;Gugu;Gcaleka;1950/05/10;South African;2024/03/29;Nelspruit;VMobile;2025/08/11 13:33;2025/08/11 13:33
27714271871;Patrick;Ferrell;1975/08/07;South African;2025/04/02;Kimberley;VMobile;2025/08/11 13:33;2025/08/11 13:33
27716808757;Guy;Kelly;1973/07/25;South African;2023/11/05;Rustenburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27717893653;Simphiwe;Nondlela;2002/12/30;South African;2024/07/11;Soshanguve;VMobile;2025/08/11 13:33;2025/08/11 13:33
27718448667;Michael;Cooper;1957/08/04;South African;2023/10/28;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27719118275;Nomthandazo;Mbuyise;1940/04/01;South African;2023/11/01;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27719729993;Hannah;Young;1983/05/04;South African;2024/08/28;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27723956054;Thuthukile;Nyambose;1976/09/03;South African;2024/08/05;Bloemfontein;VMobile;2025/08/11 13:33;2025/08/11 13:33
27724778385;Gugulethu;Hlophe;1961/02/08;South African;2023/08/20;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27727400477;Ruth;Griffiths;1990/01/20;South African;2025/03/21;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27729448431;Bhekizizwe;Mbokazi;1998/03/02;South African;2023/08/04;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27729675831;Nomagugu;Nkomo;1990/07/02;South African;2024/09/06;West Rand;VMobile;2025/08/11 13:33;2025/08/11 13:33
27729817935;Victor;Watts;1992/05/25;South African;2025/04/26;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27730744349;Joshua;Booth;1991/03/25;South African;2024/05/31;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27732045020;Mandlakhe;Gotsholo;1994/07/30;South African;2024/03/27;Welkom;VMobile;2025/08/11 13:33;2025/08/11 13:33
27732577687;Musa;Jibela;2003/11/26;South African;2024/06/25;Witbank;VMobile;2025/08/11 13:33;2025/08/11 13:33
27733191788;Musa;Nodlomo;1999/10/20;South African;2025/06/01;Soshanguve;VMobile;2025/08/11 13:33;2025/08/11 13:33
27734011187;Nobantu;Duze;1967/07/27;South African;2025/04/02;Krugersdorp;VMobile;2025/08/11 13:33;2025/08/11 13:33
27734762586;Mandlakhe;Biyase;1970/10/11;South African;2024/12/25;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27735515302;Simphiwe;Ludonga;1943/01/13;South African;2023/08/11;Rustenburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27736548736;Sandra;Harper;1988/09/23;South African;2023/07/23;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27736988792;Hannah;Marquez;1966/09/29;South African;2024/05/24;West Rand;VMobile;2025/08/11 13:33;2025/08/11 13:33
27738031248;Mandla;Gambu;1984/08/03;South African;2023/12/05;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27738452446;Mthokozisi;Ximba;1998/12/10;South African;2025/03/08;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27739126870;Nancy;Baker;1973/08/28;South African;2024/12/19;West Rand;VMobile;2025/08/11 13:33;2025/08/11 13:33
27739493210;Gregory;Robinson;1997/10/18;South African;2024/01/05;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27740348711;Olwethu;Mnomiya;1941/05/25;South African;2023/09/25;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27740837531;Chelsea;Jackson;1989/03/17;South African;2023/09/13;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27743941564;Sibonelo;Ntombela;1968/05/08;South African;2025/01/21;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27744810767;Nomalanga;Ndima;2002/08/22;South African;2024/11/13;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27745858892;Nhlanhla;Mzizi;2006/04/08;South African;2024/07/02;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27746545449;Gugu;Mthonti;1981/09/06;South African;2024/05/26;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27747009358;Teresa;Hurst;1998/03/25;South African;2024/09/14;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27748023717;Sibusisiwe;Mazibuko;1943/06/18;South African;2025/06/13;Vereeniging;VMobile;2025/08/11 13:33;2025/08/11 13:33
27749758825;Nokulunga;Gedeza;2000/10/23;South African;2025/01/11;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27750688826;Thabisile;Gabhisa;2000/09/08;South African;2023/09/30;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27752176619;Nonjabulo;Bayeni;2004/07/01;South African;2024/11/21;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27753154430;Mark;Davies;1947/05/22;South African;2023/10/02;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27754907568;Bhekisisa;Sokhela;1977/10/16;South African;2024/09/27;Vereeniging;VMobile;2025/08/11 13:33;2025/08/11 13:33
27755830723;Trevor;Campos;1998/03/10;South African;2024/07/29;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27756759873;Mlungisi;Vundla;1958/07/05;South African;2024/10/06;Newcastle;VMobile;2025/08/11 13:33;2025/08/11 13:33
27757293964;Nobuhle;Mgilija;1952/09/04;South African;2023/08/08;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27758159426;Rachel;Hayes;1956/06/17;South African;2024/05/06;West Rand;VMobile;2025/08/11 13:33;2025/08/11 13:33
27758744842;Siphesihle;Mjwara;1988/04/25;South African;2024/08/22;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27759277187;Sihawukele;Makhanya;2005/10/23;South African;2024/01/05;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27759568476;Kendra;Galloway;1997/10/18;South African;2024/06/30;Vereeniging;VMobile;2025/08/11 13:33;2025/08/11 13:33
27760905385;Nathan;Harris;1950/05/10;South African;2025/03/13;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27761465695;Gugulethu;Mahlase;1960/08/21;South African;2024/10/06;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27761704638;Monica;Evans;1983/01/27;South African;2024/02/03;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27763355406;Heather;Thompson;1989/03/17;South African;2024/01/15;Port Elizabeth;VMobile;2025/08/11 13:33;2025/08/11 13:33
27764031374;Lungile;Siyaya;1953/11/20;South African;2025/06/07;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27765030894;Jill;Miah;1981/01/16;South African;2025/06/05;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27766591547;Thembisile;Lukhele;1943/09/19;South African;2023/09/18;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27767639036;Thalente;Galu;1993/01/23;South African;2024/12/08;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27767973262;Nonjabulo;Nhlanhlampofu;1968/05/17;South African;2024/05/31;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27769640012;Kirsty;May;1945/06/02;South African;2024/12/16;Port Elizabeth;VMobile;2025/08/11 13:33;2025/08/11 13:33
27770570082;Nomusa;Hlomuka;2004/02/29;South African;2023/09/10;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27770950073;Georgia;Price;1956/06/17;South African;2025/03/06;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27771192228;Mario;Smith;2002/10/25;South African;2025/01/09;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27771583203;Musa;Sondisa;1999/05/22;South African;2023/10/29;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27772909252;Amahle;Cwalile;1947/10/01;South African;2024/09/11;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27774230241;Njabulo;Sikobi;1946/07/26;South African;2024/11/09;Vereeniging;VMobile;2025/08/11 13:33;2025/08/11 13:33
27775448067;Silondile;Guliwe;1990/06/29;South African;2024/04/01;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27775957924;Amanda;Martinez;1984/06/27;South African;2023/10/27;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27776715116;Siyabonga;Hlatshwayo;1980/01/31;South African;2024/01/01;East London;VMobile;2025/08/11 13:33;2025/08/11 13:33
27777008770;Ashley;Bond;1945/10/11;South African;2025/05/27;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27778478997;Marcus;Morris;1968/09/29;South African;2024/10/01;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27779961344;Langalibalele;Nyambose;1966/11/22;South African;2024/05/31;Krugersdorp;VMobile;2025/08/11 13:33;2025/08/11 13:33
27780470523;Dean;Stevens;1991/07/19;South African;2023/08/16;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27781311807;Vincent;Read;1962/09/28;South African;2025/03/12;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27782561720;Todd;Jones;1991/05/08;South African;2024/05/01;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27783253285;Jacqueline;Sutton;1944/06/13;South African;2023/07/25;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27785690836;Bhekokwakhe;Mcwaye;1979/02/06;South African;2024/05/28;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27786674547;Mlungisi;Sokhela;1997/04/06;South African;2025/03/10;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27787961134;Londisizwe;Gcwabe;1980/11/04;South African;2024/03/04;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27788451269;Amahle;Ndima;1966/07/11;South African;2024/04/17;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27789810620;Thabisile;Cebekhulu;1964/03/23;South African;2024/04/11;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27790250774;S'fiso;Ndawonde;1949/02/03;South African;2025/06/08;East London;VMobile;2025/08/11 13:33;2025/08/11 13:33
27790732780;Matthew;Davis;1946/03/04;South African;2024/06/26;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27790900159;Julie;Marsden;1963/10/08;South African;2024/08/01;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27791923440;Mandla;Dludlu;1998/02/02;South African;2024/10/13;Boksburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27792348065;Lucy;Wright;1994/09/03;South African;2024/09/29;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27793605906;Zibuyile;Sithuli;2000/04/21;South African;2024/11/07;Durban;VMobile;2025/08/11 13:33;2025/08/11 13:33
27795246915;Nozizwe;Lange;1954/02/19;South African;2025/03/31;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27795825108;Jennifer;Lewis;1973/07/25;South African;2024/08/05;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27796205527;SimphiweyiNkosi;Msani;1978/04/27;South African;2024/02/12;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27796677912;Allison;Obrien;2005/03/20;South African;2023/12/09;Cape Town;VMobile;2025/08/11 13:33;2025/08/11 13:33
27797558478;Randall;Rocha;1970/10/25;South African;2023/09/04;Johannesburg;VMobile;2025/08/11 13:33;2025/08/11 13:33
27798844055;Mthokozisi;Sishiya;1977/03/28;South African;2024/10/26;Ekurhuleni;VMobile;2025/08/11 13:33;2025/08/11 13:33
27799698904;Jeffrey;Bright;1974/04/07;South African;2023/10/26;Pretoria;VMobile;2025/08/11 13:33;2025/08/11 13:33
27708030287;Linda;Mellor;;South African;2024/05/12;Durban;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27700594567;Donald;Lowe;;South African;2023/07/20;Ekurhuleni;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27701525711;Sibongile;Gxabhashe;;South African;2023/07/17;Welkom;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27702796440;Lewis;Evans;;South African;2024/12/05;Pietermaritzburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27703027009;Luyanda;Madinane;;South African;2024/06/29;Cape Town;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27703678152;Busisiwe;Hadebe;;South African;2025/02/07;Boksburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27704702209;Andile;Sangweni;;South African;2025/05/02;Johannesburg;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27705723746;Bandile;Ngungunyana;;South African;2023/11/29;Soshanguve;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
27705989494;Thembeka;Sontuli;;South African;2024/10/27;Pretoria;ArrowMobile;2025/08/11 13:33;2025/08/11 13:33
