CellPhoneNumber;FirstName;LastName;DateOfBirth;Nationality;SIMActivationDate;Location;SourceSystemName;TotalRevenue;QualifyingRevenue;VoiceRevenue;SMSRevenue;DataRevenue;TotalCallCount;TotalSMSCount
27700408017;Roger;Pritchard;1998/12/17;South African;2024/12/23;Port Elizabeth;BlueMobile;313,36;140,59;140,59;0;172,77;11;0
27700498064;Sithembiso;Sabelo;1961/01/02;South African;2023/10/05;Cape Town;BlueMobile;262,96;91,23;91,23;0;171,73;10;0
27700536653;Thabani;Phewa;1960/10/20;South African;2025/06/03;Soshanguve;BlueMobile;306,6;233,44;86,44;147;73,16;12;1
27700594567;Donald;Lowe;;South African;2023/07/20;Ekurhuleni;ArrowMobile;193,56;107,09;107,09;0;86,47;7;0
27701302724;Sibonelo;Jiyane;1965/05/31;South African;2024/01/10;Johannesburg;VMobile;167,2;83,61;83,61;0;83,59;9;0
27701422836;Erin;Carlson;1965/10/10;South African;2024/10/09;Soshanguve;BlueMobile;200,14;156,46;96,87;59,59;43,68;6;1
27701525711;Sibongile;Gxabhashe;;South African;2023/07/17;Welkom;ArrowMobile;385,11;214,64;107;107,64;170,47;11;1
27702088773;Gugulethu;Dimbani;1976/11/17;South African;2024/11/15;Pretoria;VMobile;546,73;290,87;74,25;216,62;255,86;7;2
27702126483;Margaret;Wright;1971/06/11;South African;2023/11/22;Cape Town;BlueMobile;303,38;69,68;69,68;0;233,7;8;0
27702796440;Lewis;Evans;;South African;2024/12/05;Pietermaritzburg;ArrowMobile;291,35;163,8;163,8;0;127,55;12;0
27702970958;Nokulunga;Mhlungu;1977/03/11;South African;2025/04/16;West Rand;VMobile;299,52;173,08;53,2;119,88;126,44;6;1
27702983213;Bandile;Kweyama;2002/08/18;South African;2024/02/26;Johannesburg;BlueMobile;211,38;136,38;60,59;75,79;75;10;1
27703027009;Luyanda;Madinane;;South African;2024/06/29;Cape Town;ArrowMobile;241;53,38;53,38;0;187,62;10;0
27703402404;Nomasonto;Ndandali;1970/10/25;South African;2024/02/05;Johannesburg;BlueMobile;391,89;372,63;94,49;278,14;19,26;7;3
27703678152;Busisiwe;Hadebe;;South African;2025/02/07;Boksburg;ArrowMobile;410,91;218,58;102,42;116,16;192,33;10;1
27704131178;Lindsay;Blair;1976/01/31;South African;2024/09/22;Cape Town;VMobile;352,66;245;67,08;177,92;107,66;3;1
27704465602;Johw;Tran;2003/09/22;South African;2024/09/08;Tshwane;BlueMobile;290,21;87,13;54,07;33,06;203,08;6;1
27704552601;Jill;Young;1990/09/09;South African;2025/02/24;Johannesburg;BlueMobile;297,1;133,75;133,75;0;163,35;11;0
27704702209;Andile;Sangweni;;South African;2025/05/02;Johannesburg;ArrowMobile;387,32;171,55;73,02;98,53;215,77;12;1
27704753382;Nomathalente;Shoba;1962/09/06;South African;2024/08/06;Port Elizabeth;VMobile;288,46;108,52;108,52;0;179,94;11;0
27705723746;Bandile;Ngungunyana;;South African;2023/11/29;Soshanguve;ArrowMobile;239,28;54,77;54,77;0;184,51;6;0
27705752990;Andrea;Calderon;1981/09/06;South African;2023/08/02;Durban;VMobile;173,76;124,34;124,34;0;49,42;10;0
27705781665;Zinhle;Dumisa;1980/03/05;South African;2023/09/29;Cape Town;BlueMobile;413,97;281,3;79,28;202,02;132,67;7;1
27705989494;Thembeka;Sontuli;;South African;2024/10/27;Pretoria;ArrowMobile;223,58;151,75;101,43;50,32;71,83;9;1
27706327368;Henry;Smith;1949/02/01;South African;2024/06/24;Pretoria;VMobile;281,83;187,58;187,58;0;94,25;10;0
27706347171;Nozizwe;Hlela;2006/02/21;South African;2024/09/29;Ekurhuleni;BlueMobile;279,79;85,53;85,53;0;194,26;10;0
27706374564;Bhekisisa;Ndiyema;;South African;2025/03/31;West Rand;ArrowMobile;304,96;84,08;84,08;0;220,88;10;0
27706833765;Michael;Galloway;1994/06/29;South African;2025/01/14;Witbank;VMobile;197,21;133,01;133,01;0;64,2;15;0
27706908401;Siphesihle;Dinabantu;2005/11/10;South African;2025/01/02;Johannesburg;BlueMobile;347,47;197,28;77,22;120,06;150,19;11;1
27707033903;Sibusisiwe;Mtolo;;South African;2024/08/11;Ekurhuleni;ArrowMobile;291,42;91,55;91,55;0;199,87;10;0
27707347477;David;Nielsen;1944/12/14;South African;2023/08/24;Port Elizabeth;VMobile;160,05;112,23;112,23;0;47,82;11;0
27707578628;Thembile;Madonsela;1941/04/17;South African;2024/09/29;Durban;BlueMobile;190,08;88,82;88,82;0;101,26;10;0
27707724345;Donald;Taylor;;South African;2024/01/12;Pietermaritzburg;ArrowMobile;256,8;111,43;41,81;69,62;145,37;3;1
27707848987;Nicole;Ward;1952/09/04;South African;2024/10/21;Pietermaritzburg;VMobile;127,11;89,59;89,03;0,56;37,52;15;1
27708030287;Linda;Mellor;;South African;2024/05/12;Durban;ArrowMobile;289,93;96,2;96,2;0;193,73;6;0
